c1,c2,a1,a2,same,token_diff
114,116,104,104,1,12
122,124,119,119,1,158
155,157,200,200,1,59
155,160,200,200,1,34
156,160,200,200,1,148
21,27,9,9,1,151
126,127,157,157,1,78
85,89,91,91,1,110
87,89,91,91,1,27
30,32,29,29,1,47
127,131,157,157,1,100
75,76,85,85,1,50
8,73,85,85,1,6
108,110,99,99,1,103
49,55,41,41,1,70
93,94,94,94,1,26
113,114,104,104,1,40
86,90,91,91,1,107
91,93,94,94,1,89
15,122,119,119,1,86
158,159,200,200,1,40
71,73,85,85,1,7
157,160,200,200,1,93
150,152,199,199,1,66
22,27,9,9,1,101
29,32,29,29,1,9
61,62,56,56,1,35
79,83,90,90,1,24
16,130,157,157,1,16
42,45,39,39,1,70
99,102,96,96,1,146
9,81,90,90,1,158
78,80,90,90,1,83
158,160,200,200,1,142
123,124,119,119,1,77
138,139,178,178,1,46
129,131,157,157,1,161
80,82,90,90,1,51
11,91,94,94,1,63
30,31,29,29,1,134
11,93,94,94,1,152
51,52,41,41,1,101
123,125,119,119,1,12
130,131,157,157,1,6
64,68,59,59,1,96
64,67,59,59,1,103
14,115,104,104,1,76
105,106,99,99,1,51
49,52,41,41,1,77
85,87,91,91,1,137
16,129,157,157,1,139
3,40,37,37,1,140
127,130,157,157,1,106
6,62,56,56,1,72
53,55,41,41,1,116
5,53,41,41,1,33
120,121,119,119,1,22
99,100,96,96,1,37
66,67,59,59,1,76
119,121,119,119,1,27
49,53,41,41,1,46
8,71,85,85,1,13
98,100,96,96,1,60
44,48,39,39,1,115
155,159,200,200,1,136
106,110,99,99,1,81
19,150,199,199,1,8
9,83,90,90,1,106
18,140,185,185,1,119
134,137,178,178,1,124
57,62,56,56,1,93
129,130,157,157,1,155
9,78,90,90,1,97
112,115,104,104,1,9
159,160,200,200,1,102
7,65,59,59,1,148
29,30,29,29,1,38
3,35,37,37,1,146
113,116,104,104,1,28
105,110,99,99,1,132
92,95,94,94,1,155
15,123,119,119,1,149
142,146,185,185,1,74
17,134,178,178,1,95
140,144,185,185,1,164
50,54,41,41,1,78
46,48,39,39,1,141
124,125,119,119,1,65
148,150,199,199,1,18
110,111,99,99,1,135
105,111,99,99,1,3
10,90,91,91,1,60
15,124,119,119,1,72
6,58,56,56,1,152
35,40,37,37,1,6
5,49,41,41,1,79
63,69,59,59,1,2
11,97,94,94,1,158
147,153,199,199,1,66
57,61,56,56,1,58
119,120,119,119,1,49
98,99,96,96,1,97
19,152,199,199,1,74
140,145,185,185,1,99
142,143,185,185,1,39
106,111,99,99,1,54
144,145,185,185,1,65
1,22,9,9,1,77
28,34,29,29,1,132
129,132,157,157,1,113
45,47,39,39,1,73
154,156,200,200,1,131
5,52,41,41,1,156
135,138,178,178,1,105
67,68,59,59,1,7
64,66,59,59,1,27
1,21,9,9,1,27
70,76,85,85,1,135
13,109,99,99,1,29
101,104,96,96,1,71
21,23,9,9,1,129
24,26,9,9,1,166
16,131,157,157,1,22
56,60,56,56,1,81
64,65,59,59,1,19
148,152,199,199,1,84
135,139,178,178,1,59
52,55,41,41,1,7
12,101,96,96,1,138
154,159,200,200,1,85
6,57,56,56,1,165
91,97,94,94,1,95
50,53,41,41,1,156
39,41,37,37,1,56
19,148,199,199,1,10
12,103,96,96,1,35
78,82,90,90,1,134
51,55,41,41,1,94
66,68,59,59,1,69
156,159,200,200,1,46
51,53,41,41,1,22
71,72,85,85,1,65
143,146,185,185,1,35
18,145,185,185,1,20
42,47,39,39,1,3
5,55,41,41,1,149
18,144,185,185,1,45
154,157,200,200,1,110
37,40,37,37,1,158
49,51,41,41,1,24
1,23,9,9,1,102
136,138,178,178,1,97
136,139,178,178,1,143
156,158,200,200,1,6
154,155,200,200,1,51
6,61,56,56,1,107
4,48,39,39,1,3
21,22,9,9,1,50
3,37,37,37,1,18
81,83,90,90,1,52
5,51,41,41,1,55
93,97,94,94,1,6
35,37,37,37,1,164
52,53,41,41,1,123
72,73,85,85,1,72
8,72,85,85,1,78
31,32,29,29,1,181
84,88,91,91,1,370
107,109,99,99,1,301
49,50,41,41,1,202
72,74,85,85,1,276
86,89,91,91,1,369
42,44,39,39,1,269
82,83,90,90,1,337
119,123,119,119,1,199
122,125,119,119,1,223
105,107,99,99,1,285
25,26,9,9,1,225
101,103,96,96,1,173
60,61,56,56,1,290
121,123,119,119,1,226
157,159,200,200,1,195
12,104,96,96,1,209
14,118,104,104,1,370
79,82,90,90,1,361
15,121,119,119,1,375
20,154,200,200,1,336
98,101,96,96,1,178
7,68,59,59,1,263
93,95,94,94,1,378
