c1,c2,a1,a2,same,token_diff
103,175,4,12,0,15
54,374,53,34,0,22
66,85,65,2,0,11
52,381,51,34,0,15
330,438,29,41,0,11
257,420,21,39,0,4
327,574,28,56,0,2
202,541,15,52,0,17
112,378,5,34,0,22
235,472,18,45,0,17
404,480,37,45,0,1
67,478,0,45,0,2
158,529,10,51,0,11
301,348,26,31,0,5
347,457,31,43,0,8
217,256,16,21,0,11
99,379,3,34,0,0
373,627,34,62,0,18
523,614,50,60,0,2
199,280,14,23,0,6
135,239,7,19,0,11
95,558,3,54,0,19
219,258,16,21,0,12
439,590,41,58,0,5
120,571,5,56,0,17
30,494,29,47,0,14
215,264,16,21,0,18
235,539,18,52,0,2
31,115,30,5,0,11
12,91,11,2,0,9
315,554,27,54,0,12
447,586,42,57,0,1
99,608,3,60,0,22
185,455,13,43,0,22
481,526,46,51,0,3
454,587,43,57,0,13
118,201,5,14,0,16
442,491,41,47,0,15
295,412,25,38,0,10
244,357,19,32,0,21
279,472,23,45,0,1
248,384,20,35,0,3
440,597,41,58,0,20
301,434,26,40,0,2
37,155,36,9,0,18
50,441,49,41,0,4
348,483,31,46,0,9
105,254,4,20,0,3
32,425,31,39,0,18
393,649,36,64,0,4
107,609,4,60,0,45
76,281,1,23,0,48
409,462,38,43,0,26
63,349,62,31,0,23
451,571,42,56,0,50
173,196,11,14,0,43
303,329,26,29,0,35
139,560,8,54,0,42
239,318,19,27,0,25
197,456,14,43,0,50
196,585,14,57,0,29
212,580,16,57,0,27
52,309,51,26,0,23
202,360,15,32,0,33
165,438,10,41,0,42
190,400,13,37,0,36
340,349,30,31,0,25
316,582,27,57,0,24
170,265,11,22,0,49
466,584,44,57,0,42
162,456,10,43,0,43
567,621,55,61,0,43
100,568,3,55,0,38
505,550,48,53,0,28
539,590,52,58,0,25
235,303,18,26,0,44
274,476,23,45,0,38
130,150,7,9,0,34
221,306,17,26,0,32
237,417,18,38,0,39
350,566,31,55,0,45
112,196,5,14,0,24
345,580,30,57,0,38
180,217,12,16,0,51
74,320,0,28,0,51
148,179,9,12,0,40
20,44,19,43,0,39
187,223,13,17,0,42
376,595,34,58,0,50
163,280,10,23,0,39
134,481,7,46,0,25
235,256,18,21,0,36
102,237,3,18,0,36
489,580,46,57,0,42
420,473,39,45,0,27
79,139,1,8,0,43
143,229,8,18,0,44
340,508,30,49,0,38
67,549,0,53,0,50
38,357,37,32,0,33
279,452,23,42,0,80
228,585,17,57,0,74
224,420,17,39,0,55
278,400,23,37,0,64
425,457,39,43,0,76
122,541,6,52,0,86
448,610,42,60,0,77
1,66,0,65,0,65
492,571,47,56,0,62
643,655,64,65,0,71
76,118,1,5,0,70
501,658,48,65,0,81
464,536,44,52,0,92
32,400,31,37,0,59
205,317,15,27,0,62
8,569,7,55,0,82
168,580,11,57,0,89
450,500,42,48,0,87
