number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.10850178763790361,2024-12-27 12:24:22.397553,2024-12-27 12:34:26.109380,0 days 00:10:03.711827,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.019804610323490898,2024-12-27 12:34:26.110495,2024-12-27 12:39:26.863109,0 days 00:05:00.752614,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.4248689093764476,2024-12-27 12:39:26.863724,2024-12-27 12:54:15.716629,0 days 00:14:48.852905,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.12347479186287719,2024-12-27 12:54:15.717161,2024-12-27 13:08:56.560983,0 days 00:14:40.843822,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.2901133184850225,2024-12-27 13:08:56.561577,2024-12-27 13:33:37.695377,0 days 00:24:41.133800,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.3484537879077086,2024-12-27 13:33:37.696476,2024-12-27 14:10:34.264305,0 days 00:36:56.567829,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.028053061193867555,2024-12-27 14:10:34.264913,2024-12-27 14:15:38.063910,0 days 00:05:03.798997,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.03375375201418906,2024-12-27 14:15:38.064517,2024-12-27 14:30:39.913384,0 days 00:15:01.848867,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.3742336483065217,2024-12-27 14:30:39.913996,2024-12-27 15:09:50.248602,0 days 00:39:10.334606,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.10297144265330727,2024-12-27 15:09:50.249652,2024-12-27 15:14:50.834110,0 days 00:05:00.584458,8,1.0370844668954537e-05,5,0.03,COMPLETE
