number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.22781546410627054,2024-12-25 21:27:00.319580,2024-12-25 21:35:33.384724,0 days 00:08:33.065144,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.01885508846744954,2024-12-25 21:35:33.385972,2024-12-25 21:39:59.207853,0 days 00:04:25.821881,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.6391608930307543,2024-12-25 21:39:59.209081,2024-12-25 21:52:55.682046,0 days 00:12:56.472965,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.3022438073154189,2024-12-25 21:52:55.683182,2024-12-25 22:04:49.221915,0 days 00:11:53.538733,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.5270049597510164,2024-12-25 22:04:49.223615,2024-12-25 22:26:14.526430,0 days 00:21:25.302815,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.5830183938377217,2024-12-25 22:26:14.527768,2024-12-25 22:55:19.911246,0 days 00:29:05.383478,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.03902646906459173,2024-12-25 22:55:19.912473,2024-12-25 22:59:19.526009,0 days 00:03:59.613536,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.07430763981886393,2024-12-25 22:59:19.527050,2024-12-25 23:12:04.346223,0 days 00:12:44.819173,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.6073542022397624,2024-12-25 23:12:04.347115,2024-12-25 23:43:23.320048,0 days 00:31:18.972933,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.26146368726207164,2024-12-25 23:43:23.321184,2024-12-25 23:47:43.973464,0 days 00:04:20.652280,8,1.0370844668954537e-05,5,0.03,COMPLETE
