Actual,Predicted,Id,Labels
0,148,0,0
6,166,1,6
8,3,2,8
0,80,3,0
15,121,4,15
1,1,5,1
25,167,6,25
28,63,7,28
21,111,8,21
34,34,9,34
22,123,10,22
38,145,11,38
40,40,12,40
19,123,13,19
47,47,14,47
26,167,15,26
37,37,16,37
53,152,17,53
57,127,18,57
37,37,19,37
63,63,20,63
11,11,21,11
73,124,22,73
0,0,23,0
79,3,24,79
46,77,25,46
63,106,26,63
3,3,27,3
23,23,28,23
45,124,29,45
5,5,30,5
67,103,31,67
19,19,32,19
24,0,33,24
16,3,34,16
49,49,35,49
5,5,36,5
59,52,37,59
110,110,38,110
114,114,39,114
35,119,40,35
61,165,41,61
32,166,42,32
76,113,43,76
74,146,44,74
34,34,45,34
63,63,46,63
35,119,47,35
102,72,48,102
88,88,49,88
112,112,50,112
14,14,51,14
85,85,52,85
60,54,53,60
88,88,54,88
4,4,55,4
133,34,56,133
51,55,57,51
26,77,58,26
44,138,59,44
33,33,60,33
41,51,61,41
123,123,62,123
44,44,63,44
78,78,64,78
3,3,65,3
56,100,66,56
63,63,67,63
34,34,68,34
77,37,69,77
119,119,70,119
32,127,71,32
84,26,72,84
127,54,73,127
120,120,74,120
144,144,75,144
94,94,76,94
63,63,77,63
58,130,78,58
81,134,79,81
8,30,80,8
100,100,81,100
31,55,82,31
53,26,83,53
63,124,84,63
5,5,85,5
120,120,86,120
34,34,87,34
63,63,88,63
49,49,89,49
51,51,90,51
99,99,91,99
99,110,92,99
73,170,93,73
21,112,94,21
138,110,95,138
3,114,96,3
36,36,97,36
20,176,98,20
18,171,99,18
113,145,100,113
87,57,101,87
71,112,102,71
116,116,103,116
155,130,104,155
63,63,105,63
63,63,106,63
60,60,107,60
133,133,108,133
112,148,109,112
135,35,110,135
106,106,111,106
29,9,112,29
96,72,113,96
146,3,114,146
30,121,115,30
106,106,116,106
62,178,117,62
63,34,118,63
63,63,119,63
88,124,120,88
148,148,121,148
5,5,122,5
34,34,123,34
78,119,124,78
134,3,125,134
72,72,126,72
57,60,127,57
88,88,128,88
101,142,129,101
163,54,130,163
60,51,131,60
96,1,132,96
138,138,133,138
120,120,134,120
66,154,135,66
63,63,136,63
36,36,137,36
10,26,138,10
90,90,139,90
41,41,140,41
143,143,141,143
27,138,142,27
26,26,143,26
165,165,144,165
114,114,145,114
106,1,146,106
147,147,147,147
47,47,148,47
67,55,149,67
106,106,150,106
3,3,151,3
27,27,152,27
63,63,153,63
148,148,154,148
46,46,155,46
81,29,156,81
