number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.12751653626500706,2024-12-27 21:48:06.828963,2024-12-27 21:58:13.139486,0 days 00:10:06.310523,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.019795245982670618,2024-12-27 21:58:13.140456,2024-12-27 22:03:17.378479,0 days 00:05:04.238023,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.4878477092942288,2024-12-27 22:03:17.379493,2024-12-27 22:18:21.292562,0 days 00:15:03.913069,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.16756271396541406,2024-12-27 22:18:21.293427,2024-12-27 22:33:15.691331,0 days 00:14:54.397904,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3467663195740985,2024-12-27 22:33:15.692686,2024-12-27 22:58:13.556295,0 days 00:24:57.863609,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.402440415506979,2024-12-27 22:58:13.557322,2024-12-27 23:35:46.919590,0 days 00:37:33.362268,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.04928686860801029,2024-12-27 23:35:46.920541,2024-12-27 23:40:51.965532,0 days 00:05:05.044991,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.06733529208210418,2024-12-27 23:40:51.966503,2024-12-27 23:56:00.806638,0 days 00:15:08.840135,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.43190694437639193,2024-12-27 23:56:00.807698,2024-12-28 00:35:47.643643,0 days 00:39:46.835945,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.13615100203802985,2024-12-28 00:35:47.644703,2024-12-28 00:40:52.838825,0 days 00:05:05.194122,8,1.0370844668954537e-05,5,0.03,COMPLETE
