number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.21379653568874077,2024-12-26 00:01:02.762514,2024-12-26 00:09:39.235156,0 days 00:08:36.472642,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.020953013239928008,2024-12-26 00:09:39.236238,2024-12-26 00:13:58.360456,0 days 00:04:19.124218,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.6238663218048675,2024-12-26 00:13:58.361571,2024-12-26 00:26:53.476124,0 days 00:12:55.114553,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.2592571571257814,2024-12-26 00:26:53.477381,2024-12-26 00:38:38.808709,0 days 00:11:45.331328,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.47669131186648483,2024-12-26 00:38:38.809689,2024-12-26 00:59:55.636932,0 days 00:21:16.827243,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.5553889115863906,2024-12-26 00:59:55.638013,2024-12-26 01:29:03.999583,0 days 00:29:08.361570,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.046768617006701554,2024-12-26 01:29:04.000702,2024-12-26 01:33:06.235666,0 days 00:04:02.234964,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.07538534104191558,2024-12-26 01:33:06.236634,2024-12-26 01:46:03.964175,0 days 00:12:57.727541,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.563978027468827,2024-12-26 01:46:03.965503,2024-12-26 02:17:20.456683,0 days 00:31:16.491180,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.24108459646192354,2024-12-26 02:17:20.457756,2024-12-26 02:21:40.123983,0 days 00:04:19.666227,8,1.0370844668954537e-05,5,0.03,COMPLETE
