Actual,Predicted,Id,Labels
0,0,0,0
6,6,1,6
8,121,2,8
0,0,3,0
15,16,4,15
1,1,5,1
25,43,6,25
28,63,7,28
21,21,8,21
34,133,9,34
22,22,10,22
38,38,11,38
40,40,12,40
19,123,13,19
47,47,14,47
26,26,15,26
37,37,16,37
53,53,17,53
57,26,18,57
37,37,19,37
63,63,20,63
11,11,21,11
73,73,22,73
0,0,23,0
79,140,24,79
46,46,25,46
63,63,26,63
3,3,27,3
23,23,28,23
45,172,29,45
5,9,30,5
67,67,31,67
19,19,32,19
24,0,33,24
16,126,34,16
49,49,35,49
5,5,36,5
59,59,37,59
110,123,38,110
114,114,39,114
35,35,40,35
61,61,41,61
32,28,42,32
76,113,43,76
74,62,44,74
34,34,45,34
63,63,46,63
35,78,47,35
102,72,48,102
88,88,49,88
112,112,50,112
14,14,51,14
85,85,52,85
60,37,53,60
88,88,54,88
4,4,55,4
133,34,56,133
51,51,57,51
26,26,58,26
44,44,59,44
33,33,60,33
41,41,61,41
123,123,62,123
44,44,63,44
78,78,64,78
3,3,65,3
56,100,66,56
63,63,67,63
34,34,68,34
77,77,69,77
119,119,70,119
32,77,71,32
84,84,72,84
127,127,73,127
120,120,74,120
144,144,75,144
94,94,76,94
63,63,77,63
58,130,78,58
81,81,79,81
8,8,80,8
100,100,81,100
31,51,82,31
53,57,83,53
63,63,84,63
5,5,85,5
120,120,86,120
34,34,87,34
63,63,88,63
49,49,89,49
51,51,90,51
99,99,91,99
99,99,92,99
73,73,93,73
21,114,94,21
138,138,95,138
3,121,96,3
36,36,97,36
20,20,98,20
18,171,99,18
113,14,100,113
87,87,101,87
71,78,102,71
116,116,103,116
155,151,104,155
63,63,105,63
63,63,106,63
60,60,107,60
133,133,108,133
112,60,109,112
135,78,110,135
106,106,111,106
29,171,112,29
96,72,113,96
146,131,114,146
30,30,115,30
106,106,116,106
62,178,117,62
63,63,118,63
63,63,119,63
88,49,120,88
148,148,121,148
5,5,122,5
34,33,123,34
78,14,124,78
134,3,125,134
72,72,126,72
57,26,127,57
88,88,128,88
101,101,129,101
163,163,130,163
60,60,131,60
96,33,132,96
138,138,133,138
120,120,134,120
66,98,135,66
63,63,136,63
36,36,137,36
10,51,138,10
90,90,139,90
41,41,140,41
143,143,141,143
27,3,142,27
26,26,143,26
165,61,144,165
114,114,145,114
106,106,146,106
147,147,147,147
47,47,148,47
67,67,149,67
106,106,150,106
3,121,151,3
27,27,152,27
63,63,153,63
148,148,154,148
46,46,155,46
81,81,156,81
17,80,157,17
124,124,158,124
173,173,159,173
63,63,160,63
63,124,161,63
51,51,162,51
95,41,163,95
50,154,164,50
77,77,165,77
77,77,166,77
170,170,167,170
177,177,168,177
105,54,169,105
14,14,170,14
171,171,171,171
2,167,172,2
109,77,173,109
13,103,174,13
132,129,175,132
123,123,176,123
103,103,177,103
85,85,178,85
154,50,179,154
5,5,180,5
119,119,181,119
169,169,182,169
63,63,183,63
127,127,184,127
126,3,185,126
117,57,186,117
28,28,187,28
114,114,188,114
99,99,189,99
176,27,190,176
64,64,191,64
34,34,192,34
166,54,193,166
85,85,194,85
58,130,195,58
119,190,196,119
138,138,197,138
83,83,198,83
181,181,199,181
152,152,200,152
42,42,201,42
36,36,202,36
