Actual,Predicted,Id,Labels
9,9,0,9
13,148,1,13
0,0,2,0
19,119,3,19
3,3,4,3
18,3,5,18
21,147,6,21
0,80,7,0
27,27,8,27
36,36,9,36
4,4,10,4
1,1,11,1
38,192,12,38
48,48,13,48
50,50,14,50
51,23,15,51
5,5,16,5
37,37,17,37
30,121,18,30
47,47,19,47
50,50,20,50
61,104,21,61
65,23,22,65
13,41,23,13
52,3,24,52
69,124,25,69
59,24,26,59
82,82,27,82
76,23,28,76
16,34,29,16
63,63,30,63
63,63,31,63
63,63,32,63
85,85,33,85
34,34,34,34
0,0,35,0
56,56,36,56
94,23,37,94
71,57,38,71
5,5,39,5
37,37,40,37
53,53,41,53
96,72,42,96
3,3,43,3
3,3,44,3
102,115,45,102
80,21,46,80
24,90,47,24
63,63,48,63
63,19,49,63
63,63,50,63
58,130,51,58
80,24,52,80
114,114,53,114
51,54,54,51
20,123,55,20
74,106,56,74
118,123,57,118
79,5,58,79
120,1,59,120
53,53,60,53
24,24,61,24
46,46,62,46
6,54,63,6
125,3,64,125
106,106,65,106
86,0,66,86
99,99,67,99
88,33,68,88
54,0,69,54
70,41,70,70
93,80,71,93
41,41,72,41
62,14,73,62
61,130,74,61
63,63,75,63
124,3,76,124
40,40,77,40
33,62,78,33
71,0,79,71
138,138,80,138
80,41,81,80
103,103,82,103
132,132,83,132
46,127,84,46
16,174,85,16
101,51,86,101
6,103,87,6
29,114,88,29
63,63,89,63
63,63,90,63
129,67,91,129
0,0,92,0
144,144,93,144
63,63,94,63
117,167,95,117
146,3,96,146
147,24,97,147
133,99,98,133
133,63,99,133
34,133,100,34
19,119,101,19
72,72,102,72
49,71,103,49
138,138,104,138
67,132,105,67
134,115,106,134
73,78,107,73
84,84,108,84
85,85,109,85
22,138,110,22
77,77,111,77
60,85,112,60
36,36,113,36
36,23,114,36
8,8,115,8
129,139,116,129
156,175,117,156
44,44,118,44
130,130,119,130
28,78,120,28
123,123,121,123
140,80,122,140
41,41,123,41
158,158,124,158
63,63,125,63
63,63,126,63
75,33,127,75
88,88,128,88
3,3,129,3
3,3,130,3
34,34,131,34
94,145,132,94
17,95,133,17
49,49,134,49
9,9,135,9
7,14,136,7
7,106,137,7
163,41,138,163
96,1,139,96
64,64,140,64
120,120,141,120
142,78,142,142
73,3,143,73
145,129,144,145
2,127,145,2
168,64,146,168
113,0,147,113
68,68,148,68
119,119,149,119
114,114,150,114
57,11,151,57
64,64,152,64
127,77,153,127
83,123,154,83
106,1,155,106
71,167,156,71
136,130,157,136
3,0,158,3
88,88,159,88
41,41,160,41
159,71,161,159
154,48,162,154
124,124,163,124
63,63,164,63
85,85,165,85
47,47,166,47
170,170,167,170
44,44,168,44
77,127,169,77
28,62,170,28
135,135,171,135
177,177,172,177
49,49,173,49
85,130,174,85
106,106,175,106
157,157,176,157
171,171,177,171
34,34,178,34
60,60,179,60
112,112,180,112
155,3,181,155
171,171,182,171
33,123,183,33
178,57,184,178
106,106,185,106
63,63,186,63
143,143,187,143
126,3,188,126
156,33,189,156
121,75,190,121
25,148,191,25
78,78,192,78
119,19,193,119
112,112,194,112
51,51,195,51
91,91,196,91
142,142,197,142
180,49,198,180
155,171,199,155
15,51,200,15
171,171,201,171
165,130,202,165
63,63,203,63
49,49,204,49
99,99,205,99
44,44,206,44
141,77,207,141
9,9,208,9
182,39,209,182
106,106,210,106
62,62,211,62
169,169,212,169
103,103,213,103
176,123,214,176
179,119,215,179
90,90,216,90
135,135,217,135
57,146,218,57
32,51,219,32
3,3,220,3
60,91,221,60
5,5,222,5
116,116,223,116
52,24,224,52
120,120,225,120
161,123,226,161
178,178,227,178
60,51,228,60
140,30,229,140
88,88,230,88
145,145,231,145
37,37,232,37
26,67,233,26
121,121,234,121
106,106,235,106
85,85,236,85
57,95,237,57
170,170,238,170
32,131,239,32
185,80,240,185
9,9,241,9
78,78,242,78
104,33,243,104
23,23,244,23
103,103,245,103
43,77,246,43
63,63,247,63
148,148,248,148
88,88,249,88
98,0,250,98
57,35,251,57
173,41,252,173
17,54,253,17
123,27,254,123
168,64,255,168
42,77,256,42
66,3,257,66
109,67,258,109
175,175,259,175
175,175,260,175
175,175,261,175
2,26,262,2
57,109,263,57
106,106,264,106
106,106,265,106
138,138,266,138
26,26,267,26
31,60,268,31
26,62,269,26
50,50,270,50
55,55,271,55
100,100,272,100
188,167,273,188
34,34,274,34
87,167,275,87
158,158,276,158
85,85,277,85
63,63,278,63
39,39,279,39
131,54,280,131
57,62,281,57
10,77,282,10
123,123,283,123
137,137,284,137
63,106,285,63
67,57,286,67
154,48,287,154
170,14,288,170
5,5,289,5
26,103,290,26
31,139,291,31
3,3,292,3
3,124,293,3
133,133,294,133
115,175,295,115
3,3,296,3
133,133,297,133
192,192,298,192
63,63,299,63
80,35,300,80
106,106,301,106
37,3,302,37
122,135,303,122
40,40,304,40
34,34,305,34
145,145,306,145
33,33,307,33
119,119,308,119
85,85,309,85
162,51,310,162
92,152,311,92
47,47,312,47
85,85,313,85
93,88,314,93
49,49,315,49
51,145,316,51
152,152,317,152
50,50,318,50
123,123,319,123
192,67,320,192
54,54,321,54
49,49,322,49
11,51,323,11
100,100,324,100
91,91,325,91
189,175,326,189
111,111,327,111
187,39,328,187
90,148,329,90
165,130,330,165
106,106,331,106
87,127,332,87
134,9,333,134
195,195,334,195
127,42,335,127
149,0,336,149
167,167,337,167
9,29,338,9
115,115,339,115
63,63,340,63
35,80,341,35
83,83,342,83
148,14,343,148
60,57,344,60
97,103,345,97
33,33,346,33
103,103,347,103
55,55,348,55
54,3,349,54
25,77,350,25
45,37,351,45
190,110,352,190
109,127,353,109
49,87,354,49
62,62,355,62
183,60,356,183
153,153,357,153
80,88,358,80
12,140,359,12
181,0,360,181
34,34,361,34
177,177,362,177
186,139,363,186
78,80,364,78
113,14,365,113
126,123,366,126
151,8,367,151
105,175,368,105
148,14,369,148
14,14,370,14
33,33,371,33
49,49,372,49
14,14,373,14
14,14,374,14
89,89,375,89
197,197,376,197
139,132,377,139
120,120,378,120
77,77,379,77
95,34,380,95
197,33,381,197
150,3,382,150
108,123,383,108
49,49,384,49
14,14,385,14
99,99,386,99
66,62,387,66
128,62,388,128
88,88,389,88
42,77,390,42
107,48,391,107
193,178,392,193
145,145,393,145
196,135,394,196
49,49,395,49
111,111,396,111
57,62,397,57
34,34,398,34
85,85,399,85
57,139,400,57
166,166,401,166
124,124,402,124
57,57,403,57
127,127,404,127
