number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.10526141250723414,2024-12-27 21:42:35.559358,2024-12-27 21:52:32.467803,0 days 00:09:56.908445,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.009363671185825371,2024-12-27 21:52:32.468467,2024-12-27 21:57:32.997138,0 days 00:05:00.528671,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.4308852045289098,2024-12-27 21:57:32.998145,2024-12-27 22:12:26.066711,0 days 00:14:53.068566,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.12158945179166786,2024-12-27 22:12:26.067359,2024-12-27 22:27:09.013617,0 days 00:14:42.946258,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.2831446786516039,2024-12-27 22:27:09.014638,2024-12-27 22:51:42.660492,0 days 00:24:33.645854,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.3447310597294957,2024-12-27 22:51:42.661097,2024-12-27 23:29:00.001375,0 days 00:37:17.340278,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.0379347964028365,2024-12-27 23:29:00.018408,2024-12-27 23:34:13.507889,0 days 00:05:13.489481,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.04018394867436943,2024-12-27 23:34:13.523029,2024-12-27 23:49:44.323530,0 days 00:15:30.800501,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.3731841837129088,2024-12-27 23:49:44.324698,2024-12-28 00:28:53.720950,0 days 00:39:09.396252,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.1158370220860478,2024-12-28 00:28:53.721571,2024-12-28 00:33:53.671479,0 days 00:04:59.949908,8,1.0370844668954537e-05,5,0.03,COMPLETE
