number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.13465996772185404,2024-12-28 07:12:01.387834,2024-12-28 07:22:14.808857,0 days 00:10:13.421023,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.02248681584200021,2024-12-28 07:22:14.809828,2024-12-28 07:27:21.153274,0 days 00:05:06.343446,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.5007557365833042,2024-12-28 07:27:21.154391,2024-12-28 07:42:26.655021,0 days 00:15:05.500630,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.16688537267961487,2024-12-28 07:42:26.655988,2024-12-28 07:57:23.686538,0 days 00:14:57.030550,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3422170764790248,2024-12-28 07:57:23.687754,2024-12-28 08:22:22.751357,0 days 00:24:59.063603,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.4084250014869117,2024-12-28 08:22:22.752360,2024-12-28 08:59:30.353829,0 days 00:37:07.601469,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.04299492932648603,2024-12-28 08:59:30.354884,2024-12-28 09:04:33.798124,0 days 00:05:03.443240,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.07792692045060227,2024-12-28 09:04:33.799244,2024-12-28 09:19:38.200064,0 days 00:15:04.400820,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.43180686130008833,2024-12-28 09:19:38.201198,2024-12-28 09:59:19.158099,0 days 00:39:40.956901,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.14040450850707292,2024-12-28 09:59:19.159137,2024-12-28 10:04:24.425278,0 days 00:05:05.266141,8,1.0370844668954537e-05,5,0.03,COMPLETE
