Actual,Predicted,Id,Labels
0,3,0,0
0,0,1,0
5,5,2,5
11,11,3,11
12,123,4,12
14,145,5,14
16,8,6,16
26,43,7,26
1,1,8,1
29,29,9,29
30,116,10,30
1,1,11,1
18,44,12,18
49,49,13,49
37,37,14,37
40,40,15,40
47,47,16,47
66,71,17,66
44,5,18,44
8,8,19,8
43,77,20,43
5,5,21,5
49,49,22,49
71,67,23,71
63,63,24,63
13,13,25,13
88,110,26,88
5,5,27,5
71,85,28,71
76,26,29,76
3,116,30,3
2,167,31,2
5,5,32,5
98,50,33,98
68,68,34,68
100,100,35,100
102,39,36,102
105,158,37,105
106,106,38,106
35,35,39,35
108,107,40,108
32,71,41,32
63,63,42,63
106,106,43,106
30,30,44,30
21,119,45,21
92,167,46,92
115,115,47,115
119,119,48,119
46,77,49,46
24,24,50,24
41,41,51,41
34,34,52,34
54,17,53,54
63,3,54,63
63,63,55,63
63,63,56,63
65,65,57,65
11,11,58,11
46,26,59,46
14,14,60,14
85,166,61,85
40,40,62,40
77,77,63,77
50,50,64,50
107,107,65,107
63,63,66,63
134,27,67,134
134,138,68,134
55,91,69,55
63,63,70,63
19,19,71,19
36,36,72,36
100,100,73,100
9,115,74,9
10,42,75,10
127,127,76,127
138,138,77,138
0,37,78,0
87,87,79,87
113,14,80,113
63,124,81,63
116,116,82,116
67,139,83,67
26,167,84,26
119,157,85,119
109,26,86,109
6,95,87,6
70,70,88,70
127,127,89,127
127,127,90,127
80,0,91,80
63,63,92,63
19,19,93,19
100,100,94,100
106,106,95,106
51,109,96,51
54,54,97,54
148,14,98,148
49,49,99,49
60,41,100,60
124,124,101,124
63,63,102,63
112,24,103,112
22,22,104,22
5,5,105,5
63,63,106,63
77,77,107,77
132,135,108,132
49,49,109,49
127,127,110,127
91,91,111,91
83,83,112,83
36,3,113,36
115,3,114,115
56,56,115,56
34,34,116,34
64,64,117,64
60,90,118,60
57,166,119,57
44,44,120,44
146,131,121,146
133,115,122,133
85,85,123,85
128,35,124,128
25,46,125,25
42,42,126,42
136,58,127,136
144,144,128,144
36,40,129,36
3,3,130,3
88,88,131,88
88,3,132,88
148,14,133,148
3,3,134,3
3,37,135,3
22,138,136,22
99,99,137,99
138,138,138,138
120,120,139,120
120,120,140,120
81,116,141,81
96,184,142,96
121,3,143,121
58,58,144,58
63,63,145,63
49,49,146,49
7,9,147,7
33,147,148,33
164,26,149,164
38,31,150,38
3,3,151,3
59,24,152,59
60,139,153,60
131,192,154,131
26,21,155,26
17,17,156,17
27,110,157,27
85,85,158,85
128,57,159,128
59,24,160,59
14,0,161,14
67,67,162,67
60,57,163,60
120,120,164,120
123,123,165,123
106,106,166,106
114,114,167,114
20,52,168,20
106,1,169,106
85,85,170,85
3,3,171,3
103,57,172,103
71,43,173,71
163,34,174,163
145,145,175,145
34,34,176,34
149,0,177,149
112,14,178,112
171,171,179,171
109,26,180,109
61,82,181,61
142,91,182,142
170,170,183,170
175,88,184,175
89,89,185,89
64,64,186,64
111,111,187,111
27,110,188,27
167,167,189,167
177,177,190,177
130,130,191,130
88,88,192,88
3,3,193,3
108,3,194,108
135,90,195,135
5,88,196,5
96,88,197,96
34,34,198,34
151,151,199,151
42,167,200,42
169,169,201,169
82,82,202,82
75,75,203,75
178,171,204,178
63,63,205,63
39,39,206,39
150,98,207,150
120,120,208,120
34,34,209,34
62,62,210,62
49,49,211,49
9,9,212,9
125,125,213,125
20,197,214,20
55,0,215,55
140,171,216,140
155,155,217,155
7,77,218,7
83,83,219,83
169,169,220,169
138,138,221,138
90,90,222,90
181,181,223,181
53,53,224,53
60,14,225,60
131,3,226,131
62,178,227,62
101,180,228,101
104,104,229,104
183,31,230,183
69,69,231,69
176,104,232,176
171,171,233,171
167,77,234,167
3,3,235,3
165,165,236,165
159,98,237,159
24,24,238,24
116,116,239,116
178,110,240,178
135,119,241,135
179,71,242,179
45,89,243,45
171,29,244,171
120,120,245,120
178,178,246,178
60,71,247,60
182,1,248,182
161,22,249,161
133,133,250,133
155,23,251,155
57,57,252,57
154,154,253,154
164,26,254,164
86,86,255,86
47,47,256,47
154,48,257,154
57,80,258,57
28,71,259,28
124,124,260,124
14,14,261,14
50,50,262,50
95,3,263,95
39,187,264,39
57,57,265,57
167,167,266,167
124,124,267,124
63,63,268,63
122,166,269,122
88,88,270,88
175,175,271,175
123,33,272,123
162,67,273,162
140,121,274,140
49,49,275,49
49,49,276,49
139,139,277,139
146,78,278,146
49,49,279,49
32,80,280,32
51,51,281,51
63,63,282,63
106,106,283,106
62,62,284,62
157,62,285,157
126,110,286,126
50,50,287,50
175,175,288,175
175,161,289,175
158,158,290,158
123,123,291,123
98,98,292,98
54,54,293,54
51,23,294,51
3,3,295,3
106,106,296,106
34,34,297,34
186,186,298,186
124,124,299,124
85,85,300,85
81,65,301,81
100,100,302,100
63,106,303,63
75,85,304,75
57,62,305,57
154,112,306,154
193,19,307,193
153,153,308,153
40,116,309,40
23,23,310,23
37,3,311,37
138,138,312,138
85,85,313,85
133,133,314,133
114,29,315,114
95,41,316,95
79,56,317,79
91,91,318,91
145,145,319,145
92,167,320,92
118,118,321,118
123,123,322,123
141,167,323,141
147,147,324,147
184,184,325,184
14,14,326,14
48,94,327,48
23,23,328,23
87,87,329,87
85,85,330,85
112,80,331,112
57,62,332,57
62,62,333,62
191,41,334,191
123,123,335,123
103,91,336,103
31,139,337,31
168,29,338,168
85,85,339,85
192,192,340,192
106,106,341,106
49,49,342,49
150,93,343,150
88,88,344,88
106,106,345,106
48,94,346,48
17,17,347,17
106,106,348,106
33,33,349,33
170,170,350,170
170,47,351,170
63,63,352,63
63,63,353,63
84,84,354,84
88,88,355,88
85,85,356,85
93,103,357,93
63,63,358,63
78,78,359,78
143,143,360,143
143,143,361,143
173,41,362,173
2,180,363,2
130,130,364,130
161,175,365,161
195,195,366,195
137,55,367,137
119,80,368,119
33,123,369,33
180,180,370,180
23,23,371,23
51,91,372,51
33,9,373,33
47,47,374,47
129,40,375,129
158,158,376,158
185,57,377,185
142,28,378,142
184,110,379,184
78,78,380,78
156,126,381,156
145,145,382,145
68,68,383,68
3,3,384,3
196,60,385,196
74,166,386,74
72,72,387,72
72,72,388,72
143,143,389,143
57,98,390,57
196,148,391,196
9,9,392,9
103,103,393,103
52,75,394,52
52,33,395,52
53,51,396,53
110,1,397,110
145,51,398,145
166,37,399,166
57,55,400,57
48,154,401,48
91,91,402,91
57,60,403,57
41,41,404,41
117,167,405,117
110,47,406,110
194,106,407,194
80,57,408,80
103,103,409,103
94,90,410,94
57,57,411,57
197,29,412,197
57,0,413,57
49,49,414,49
152,152,415,152
192,192,416,192
190,24,417,190
172,172,418,172
49,49,419,49
172,172,420,172
189,33,421,189
9,9,422,9
89,89,423,89
80,127,424,80
49,49,425,49
97,103,426,97
80,37,427,80
57,52,428,57
94,41,429,94
152,152,430,152
80,95,431,80
34,34,432,34
62,0,433,62
78,78,434,78
37,37,435,37
110,82,436,110
187,138,437,187
106,106,438,106
174,30,439,174
15,110,440,15
27,27,441,27
35,19,442,35
73,0,443,73
110,110,444,110
65,195,445,65
14,14,446,14
26,26,447,26
33,33,448,33
78,78,449,78
85,85,450,85
78,78,451,78
172,172,452,172
42,42,453,42
103,103,454,103
160,1,455,160
49,49,456,49
99,99,457,99
9,9,458,9
166,95,459,166
167,127,460,167
57,11,461,57
188,188,462,188
191,80,463,191
57,57,464,57
33,33,465,33
4,4,466,4
49,49,467,49
35,35,468,35
55,55,469,55
50,50,470,50
139,31,471,139
159,26,472,159
31,139,473,31
85,104,474,85
