number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.11962182643047407,2024-12-27 12:25:41.973318,2024-12-27 12:35:45.576991,0 days 00:10:03.603673,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.020745810508004548,2024-12-27 12:35:45.578234,2024-12-27 12:40:48.680197,0 days 00:05:03.101963,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.5085231076129527,2024-12-27 12:40:48.681149,2024-12-27 12:55:47.569358,0 days 00:14:58.888209,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.1560293678096372,2024-12-27 12:55:47.570453,2024-12-27 13:10:37.341975,0 days 00:14:49.771522,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3323663188489413,2024-12-27 13:10:37.342923,2024-12-27 13:35:30.314141,0 days 00:24:52.971218,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.39690892858796867,2024-12-27 13:35:30.315090,2024-12-27 14:12:15.353746,0 days 00:36:45.038656,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.030371703590792262,2024-12-27 14:12:15.354663,2024-12-27 14:17:15.724633,0 days 00:05:00.369970,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.06780113261366218,2024-12-27 14:17:15.725965,2024-12-27 14:32:16.753832,0 days 00:15:01.027867,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.42275673108407014,2024-12-27 14:32:16.754779,2024-12-27 15:11:49.217850,0 days 00:39:32.463071,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.13982887849147066,2024-12-27 15:11:49.218915,2024-12-27 15:16:54.471302,0 days 00:05:05.252387,8,1.0370844668954537e-05,5,0.03,COMPLETE
