number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.21105329118736318,2024-12-26 02:35:01.925513,2024-12-26 02:43:44.736709,0 days 00:08:42.811196,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.016746417336623638,2024-12-26 02:43:44.737876,2024-12-26 02:48:04.782933,0 days 00:04:20.045057,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.6305500757535255,2024-12-26 02:48:04.783678,2024-12-26 03:01:01.764748,0 days 00:12:56.981070,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.28023865548294125,2024-12-26 03:01:01.766139,2024-12-26 03:12:51.091976,0 days 00:11:49.325837,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.48801092483542696,2024-12-26 03:12:51.093169,2024-12-26 03:34:12.064399,0 days 00:21:20.971230,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.569754928205282,2024-12-26 03:34:12.065478,2024-12-26 04:03:18.376649,0 days 00:29:06.311171,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.0507783409308188,2024-12-26 04:03:18.377927,2024-12-26 04:07:18.702964,0 days 00:04:00.325037,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.07304094821671725,2024-12-26 04:07:18.704176,2024-12-26 04:20:12.214639,0 days 00:12:53.510463,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.5769825422830603,2024-12-26 04:20:12.215610,2024-12-26 04:51:36.491822,0 days 00:31:24.276212,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.2365242494925657,2024-12-26 04:51:36.493279,2024-12-26 04:55:55.548968,0 days 00:04:19.055689,8,1.0370844668954537e-05,5,0.03,COMPLETE
